Product Name,Price,Original Prices,Discount rates,brand
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Billion Extra Absorb Diaper Pants - M,649,975,33% off,Billion
Himalaya Total Care Baby Pants - XL,637,850,25% off,Himalaya
MamyPoko Pants Pants Extra Absorb Diapers - L,"1,154","1,499",23% off,MamyPoko Pants
MamyPoko Pants Pants Standard Diapers - S,359,399,10% off,MamyPoko Pants
MamyPoko Pants Pants Extra Absorb Diapers - XL,"1,538","1,998",23% off,MamyPoko Pants
MamyPoko Pants Pants Standard Diapers - L,359,399,10% off,MamyPoko Pants
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojo...",429,"1,080",60% off,Little's
MamyPoko Pants Pants Extra Absorb Diapers - M,"1,154","1,499",23% off,MamyPoko Pants
Huggies Wonder Pants Diaper - L,787,"1,049",24% off,Huggies
Pampers Baby-Dry Pants Diaper - XL,934,"1,099",15% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - XXL,463,499,7% off,MamyPoko Pants
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - L,"1,538","1,998",23% off,MamyPoko Pants
MamyPoko Pants Pants Standard Diapers - M,359,399,10% off,MamyPoko Pants
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojo...",225,540,58% off,Little's
Billion Extra Absorb Diaper Pants - S,649,975,33% off,Billion
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - New Born,769,999,23% off,MamyPoko Pants
MamyPoko Pants Pants Extra Absorb Diapers - M,"1,538","1,998",23% off,MamyPoko Pants
Johnson's Baby Skincare Wipes,900,"1,200",25% off,Johnson's
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Pampers New Extra Large Size Diapers Pants (28 Count) -...,622,699,11% off,Pampers
MamyPoko Pants Pants Standard Diapers - XL,359,399,10% off,MamyPoko Pants
Himalaya Happy Baby Gift Pack,665,950,30% off,Himalaya
Huggies Wonder Pants Diaper - XXL,424,499,15% off,Huggies
Himalaya Total Care Baby Pants - L,600,800,25% off,Himalaya
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off,LuvLap
Billion Extra Absorb Diaper Pants - L,649,975,33% off,Billion
Huggies Wonder Pants Diaper - XS,169,199,15% off,Huggies
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off,Miss
Huggies Wonder Pants Medium Size Diapers Combo Pack Of ...,"1,075","1,398",23% off,Huggies
Huggies Wonder Pants Diaper - M,787,"1,049",24% off,Huggies
Pampers Pants Diapers Monthly Box Pack New - XL,"1,759","2,199",20% off,Pampers
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Billion Extra Absorb Diaper Pants - XL,649,975,33% off,Billion
"Mamaearth Natural Anti Mosquito Body Roll On, 40ml",95,99,4% off,Mamaearth
Himalaya Gentle Baby Soap,43,48,10% off,Himalaya
Himalaya Massage Oil,330,375,12% off,Himalaya
MamyPoko Pants Extra Absorb Diaper - XL,"1,229","1,499",18% off,MamyPoko Pants
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
Huggies Wonder pants - XL,763,"1,049",27% off,Huggies
Odomos Naturals Mosquito Repellent Spray,80,85,5% off,Odomos
MamyPoko Pants Pants Extra Absorb Diapers - New Born,538,699,23% off,MamyPoko Pants
Nestle Nan Pro 2 Follow-up Formula Powder Stage 2,590,NaN,Nan,Nestle
Himalaya Total Care Baby Pants - M,562,750,25% off,Himalaya
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
MamyPoko Pants Pants Extra Absorb Diapers - M,657,699,6% off,MamyPoko Pants
Dabur Lal Tail,99,100,1% off,Dabur
Nestle Lactogen Follow-up-Formula (Stage 3),300,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Pampers New Large Size Diapers Pants (44 Count) - L,617,699,11% off,Pampers
Huggies Wonder Pants Diapers - M,"1,513","2,099",27% off,Huggies
Himalaya GENTLE BABY SHAMPOO Baby Boys & Baby Girls,80,85,5% off,Himalaya
Pampers Pants Diapers Monthly Box Pack New - L,"1,759","2,199",20% off,Pampers
Mamaearth 100 Percent Natural Berry Blast Kids Toothpas...,141,149,5% off,Mamaearth
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - XXXL,277,299,7% off,MamyPoko Pants
Nestle Cerelac 5 Grains & Fruits Cereal,262,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Johnson's Baby Soap (with New Easy Grip Shape) (Buy 3 G...,221,255,13% off,Johnson's
Himalaya Gentle Baby Shampoo pack Baby Boys & Baby Girl...,253,275,8% off,Himalaya
Nestle Lactogen Follow-up-Formula (Stage 2),315,NaN,Nan,Nestle
Huggies Wonder Pants - L,"1,568","2,099",25% off,Huggies
Huggies Wonder Pants - M,574,699,17% off,Huggies
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Huggies Extra Large Size Wonder Pants 76 (38 X 2) - XL,"1,106","1,398",20% off,Huggies
MamyPoko Pants Pants Standard Diapers - XL,750,798,6% off,MamyPoko Pants
Himalaya Total Care - M,734,"1,050",30% off,Himalaya
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off,LuvLap
MamyPoko Pants Pants Extra Absorb Diapers - S,"1,538","1,998",23% off,MamyPoko Pants
Himalaya Baby Lotion 400 ml,253,275,8% off,Himalaya
Huggies Dry pants Small - S,314,349,10% off,Huggies
Billion Extra Absorb Diaper Pants - XL,519,730,28% off,Billion
Nestle Cerelac Multigrain & Fruits Cereal,257,NaN,Nan,Nestle
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off,Miss
Johnson's Baby No More Tears Shampoo 200 ml Baby Boys &...,156,165,5% off,Johnson's
Oral-B Kids Soft Toothbrush,50,NaN,Nan,Oral-B
Johnson's Baby No More Tears Shampoo 500 ml Baby Boys &...,294,360,18% off,Johnson's
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Nestle Lactogen Infant Formula (Stage 1),325,NaN,Nan,Nestle
Little's Soft Cleansing Baby Wipes,90,180,50% off,Little's
Huggies Wonder pants - S,817,"1,049",22% off,Huggies
Nestle Cerelac Wheat Apple Cherry Cereal,220,NaN,Nan,Nestle
Huggies Wonder Pants - XL,587,699,16% off,Huggies
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Johnson's Baby Powder,128,130,1% off,Johnson's
Huggies Wonder Pants Diaper - L,410,499,17% off,Huggies
Colgate Kids Minion Extra Soft Toothbrush,71,79,10% off,Colgate
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
Johnson's Baby Ultra Soft Toothbrush,33,NaN,Nan,Johnson's
LuvLap Baby liquid Cleanser 1000 ml,345,549,37% off,LuvLap
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojo...",165,360,54% off,Little's
Billion Extra Absorb Diaper Pants - S,519,730,28% off,Billion
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Pampers New Extra Large Size Diapers Pants (36 Count) -...,650,699,7% off,Pampers
MamyPoko Pants Pants Extra Absorb Diapers - XL,657,699,6% off,MamyPoko Pants
Little Angel Baby Diaper Pants - M,"1,199","1,998",39% off,Little
Pampers Pants Diapers Monthly Box Pack New - M,"1,679","2,099",20% off,Pampers
Mamaearth Moisturizing Baby Bathing Soap Bar pH 5.5 wit...,224,249,10% off,Mamaearth
Johnson's Baby Oil with Vitamin E,324,360,10% off,Johnson's
Himalaya baby cream extra soft and gentle,220,235,6% off,Himalaya
Himalaya Baby Massage Oil,148,165,10% off,Himalaya
Billion Extra Absorb Diaper Pants - L,419,520,19% off,Billion
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
SYGA Manual Breast Pump with Nipple  - Manual,329,850,61% off,SYGA
Huggies Wonder Pants Diaper - S,587,699,16% off,Huggies
Pampers Active Baby Taped Diapers - M,870,"1,049",17% off,Pampers
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Nestle Cerelac Wheat Apple Cereal,190,NaN,Nan,Nestle
Himalaya Happy Baby Care Gift Pack,190,200,5% off,Himalaya
Pampers New Small Size Diapers Pants (58 Count) - S,617,699,11% off,Pampers
Mogal enterprise Baby Swimming 13 Pcs Sounding Bath Toy...,299,NaN,Nan,Mogal
Nestle Cerelac Multi Grain Dal Veg Cereal,257,NaN,Nan,Nestle
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off,LuvLap
Pampers Premium Care Pants Diapers - M,857,"1,049",18% off,Pampers
Pampers Premium Care Pants Diapers Monthly Box Pack - X...,"1,679","2,099",20% off,Pampers
Pampers Baby-Dry Diapers - L,915,949,3% off,Pampers
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off,Pampers
MeeMee Anti Bacterial Caring Baby Wet Wipes with Aloe V...,420,645,34% off,MeeMee
Himalaya Happy baby gift pack,378,470,19% off,Himalaya
"Pampers New Diapers Pants, Small, 36 Count - S",379,399,5% off,Pampers
Himalaya Baby powder,61,65,6% off,Himalaya
Pampers Active Baby Diapers Taped Large Size,"1,424","1,499",5% off,Pampers
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off,Mamaearth
Johnson's Baby Powder( 400g) with Baby Soap(100 g),219,258,15% off,Johnson's
Miss & Chief Bed Protector Sheet- Waterproof & Reusable,284,499,43% off,Miss
Huggies Small Size Wonder Pants120 ( 60 X 2) - S,"1,109","1,398",20% off,Huggies
Pampers Active Baby Diapers - New Born,972,999,2% off,Pampers
Huggies Wonder Pants - XL,"1,784","2,099",15% off,Huggies
Himalaya Diaper Rash Cream,104,110,5% off,Himalaya
Pampers Premium Care Pants - XL,822,"1,049",21% off,Pampers
MeeMee Anti Bacterial Caring Baby Wet Wipes with Lemon ...,371,495,25% off,MeeMee
Amulspray Infant Milk Food,197,NaN,Nan,Amulspray
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off,Pampers
Little Angel Baby Diaper Pants (2 x 42 Pcs) - XL,880,"1,398",37% off,Little
"MamyPoko Pants Extra Absorb Diaper - Small Size, Pack of 126 ...","1,229","1,499",18% off,MamyPoko Pants
Pampers Active Baby Diapers - New Born,332,349,4% off,Pampers
Pampers Baby-Dry Pants Diaper - M,618,699,11% off,Pampers
Pampers New Extra Extra Extra Large Size Diapers Pants ...,891,"1,049",15% off,Pampers
Little Angel Baby Diaper Pants - L,"1,199","1,998",39% off,Little
Little's Soft Cleansing Baby Lid Pack of 6,499,"1,194",58% off,Little's
Mamaearth Gentle Cleansing Shampoo for Babies (400 ml) ...,351,399,12% off,Mamaearth
Nestle Nan Pro Follow-up-Formula (Stage 4),580,NaN,Nan,Nestle
Pampers Baby-Dry Pants Diaper - M,873,"1,049",16% off,Pampers
Pampers Baby-Dry Pants Diapers - XXL,474,499,5% off,Pampers
Sebamed Baby Cleansing Bar (150 g),379,380,Nan,Sebamed
Pampers Pants Diapers - XS,189,199,5% off,Pampers
Pampers Baby-Dry Pants Diaper - L,891,"1,099",18% off,Pampers
Nestle Cerelac Wheat Cereal,180,NaN,Nan,Nestle
MamyPoko Pants Pants Extra Absorb Diapers - L,463,499,7% off,MamyPoko Pants
Johnson's Baby Cream,128,130,1% off,Johnson's
Huggies Wonder Pants - S,"1,615","1,999",19% off,Huggies
"LuvLap Baby Moisturising Wipes with Aloe Vera, 72 Wipes...",219,297,26% off,LuvLap
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off,Miss
Nestle Cerelac Rice Cereal,182,NaN,Nan,Nestle
Pampers Premium Care Pants Diapers Monthly Box Pack - L,"1,679","2,099",20% off,Pampers
