Product Name,Price,Original Prices,Discount rates,brand
Madhur Sugar,48,55,12% off,Madhur
Rajdhani Rajma Chithra (Whole),179,180,Nan,Rajdhani
Tata Iodized Salt,20,NaN,Nan,Tata
Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic...,133,155,14% off,Emami
 Gold Maida,53,55,3% off,Roxy gold
Parry's White Label Sugar,59,60,1% off,Parry's
Maggi Masala Instant Noodles Vegetarian,46,NaN,Nan,Maggi
Flipkart Supermart Select Cumin Seeds (Jeera),69,128,46% off,Flipkart
Fortune Sunlite Refined Sunflower Oil Pouch,114,130,12% off,Fortune
Freedom Refined Sunflower Oil Pouch,111,114,2% off,Freedom
Ananda Ghee 1 L Carton,439,510,13% off,Ananda
Tata Sampann Fine Besan,52,64,18% off,Tata
Tata Sampann Fine Besan,97,125,22% off,Tata
Britannia Little Hearts,19,20,5% off,Britannia
Maggi Pazzta Cheese Macaroni Pasta,25,NaN,Nan,Maggi
Flipkart Supermart Select Refined Wheat Flour (Maida),60,75,20% off,Flipkart
Fortune Besan,55,NaN,Nan,Fortune
Fortune Refined Soyabean Oil Pouch,116,130,10% off,Fortune
Nandini Pure Cow Ghee 1 L Pouch,474,490,3% off,Nandini
Britannia Marie Gold Biscuits,30,NaN,Nan,Britannia
Sunfeast Mom's Magic Cashew & Almonds Biscuits,103,105,1% off,Sunfeast
Rajdhani Select Sooji,33,41,19% off,Rajdhani
Tata Lite Iodized Salt,35,NaN,Nan,Tata
bragg ORGANIC RAW UNFILTERED APPLE CIDER VINEGAR Vinega...,319,640,50% off,bragg
Real Fruit Juice - Litchi,95,104,8% off,Real
Flipkart Supermart Select Sooji/Rava,58,75,22% off,Flipkart
Tang Orange Instant Drink Mix,128,135,5% off,Tang
Parle G Gold Biscuits,114,115,Nan,Parle
Red Label Tea Pouch,390,NaN,Nan,Red
Rajdhani Dalia Broken Wheat,33,41,19% off,Rajdhani
Apis Royal Zahidi Premium Dates,158,175,9% off,Apis
Fortune Rice Bran Oil Pouch,129,130,Nan,Fortune
Everest Garam Masala,77,78,1% off,Everest
Parle Namkeen Hot n Spicy Mixture,82,84,2% off,Parle
Rajdhani Mota Poha,55,60,8% off,Rajdhani
India Gate Gate Regular Choice Basmati Rice (Medium Grain),357,445,19% off,India Gate
