Product Name,Price,Original Prices,Discount rates,Ratings,Brand
"Realme 6 (Comet Blue, 128 GB)","16,999",NaN,Nan,4.4,Realme
"Redmi Note 8 Pro (Electric Blue, 128 GB)","17,785","17,999",1% off,4.5,Redmi
"POCO X2 (Atlantis Blue, 128 GB)","18,499","18,999",2% off,4.5,POCO
"POCO X2 (Matrix Purple, 128 GB)","18,499","18,999",2% off,4.5,POCO
"Vivo Z1Pro (Sonic Black, 64 GB)","13,990","15,990",12% off,4.5,Vivo
"Vivo Z1Pro (Sonic Black, 128 GB)","16,990","20,990",19% off,4.5,Vivo
"Vivo Z1Pro (Sonic Black, 64 GB)","14,990","17,990",16% off,4.5,Vivo
"Redmi Note 7 Pro (Space Black, 64 GB)","12,999","16,999",23% off,4.5,Redmi
"Vivo Y15 (Burgundy Red, 64 GB)","12,990","15,990",18% off,4.4,Vivo
"Vivo Y15 (Aqua Blue, 64 GB)","12,990","15,990",18% off,4.4,Vivo
"Redmi 8 (Onyx Black, 64 GB)","9,499","10,999",13% off,4.4,Redmi
"POCO X2 (Atlantis Blue, 64 GB)","16,999","17,999",5% off,4.5,POCO
"Realme 5 Pro (Sparkling Blue, 64 GB)","14,999","15,999",6% off,4.5,Realme
"Realme 5 Pro (Sparkling Blue, 128 GB)","16,999","17,999",5% off,4.5,Realme
"Realme 5 Pro (Sparkling Blue, 64 GB)","13,999","14,999",6% off,4.5,Realme
"Realme 5 Pro (Crystal Green, 64 GB)","13,999","14,999",6% off,4.5,Realme
"Vivo Z1Pro (Sonic Blue, 64 GB)","13,990","15,990",12% off,4.5,Vivo
"Vivo Z1Pro (Sonic Blue, 128 GB)","16,990","20,990",19% off,4.5,Vivo
"Vivo Z1Pro (Sonic Blue, 64 GB)","14,990","17,990",16% off,4.5,Vivo
"Realme 6 Pro (Lightning Blue, 64 GB)","17,999",NaN,Nan,4.5,Realme
"Redmi Note 8 Pro (Shadow Black, 64 GB)","15,999","16,999",5% off,4.5,Redmi
"Realme 6 (Comet Blue, 64 GB)","13,999",NaN,Nan,4.4,Realme
"Vivo U10 (Electric Blue, 64 GB)","10,490","11,990",12% off,4.4,Vivo
"Realme C3 (Frozen Blue, 32 GB)","7,999",NaN,Nan,4.4,Realme
"Redmi Note 8 (Neptune Blue, 128 GB)","15,996",NaN,Nan,4.4,Redmi
"Apple iPhone 7 (Black, 32 GB)","29,499","29,900",1% off,4.5,Apple
Samsung Guru Music 2,"1,710","1,950",12% off,4.3,Samsung
Samsung Guru Music 2,"1,927","1,950",1% off,4.3,Samsung
"Apple iPhone SE (Black, 128 GB)","47,800",NaN,Nan,4.7,Apple
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Redmi Note 8 Pro (Shadow Black, 128 GB)","16,999","17,999",5% off,4.5,Redmi
Nokia 105 Dual Sim 2017,"1,332","1,349",1% off,4.2,Nokia
Nokia 105 SS,"1,240",NaN,Nan,4.3,Nokia
Nokia 105 SS,"1,148",NaN,Nan,4.3,Nokia
Samsung Guru Music 2,"1,899","1,950",2% off,4.3,Samsung
"Redmi Note 7 Pro (Space Black, 128 GB)","13,999","17,999",22% off,4.5,Redmi
Lava A1,840,"1,099",23% off,4.1,Lava
Lava A1,880,"1,099",19% off,4.2,Lava
Nokia 105 ss,"1,199",NaN,Nan,4.3,Nokia
Nokia 105 SS,"1,135","1,195",5% off,4.3,Nokia
"Realme 6 (Comet Blue, 128 GB)","16,999",NaN,Nan,4.4,Realme
"POCO X2 (Atlantis Blue, 128 GB)","18,499","18,999",2% off,4.5,POCO
"POCO X2 (Matrix Purple, 128 GB)","18,499","18,999",2% off,4.5,POCO
"Vivo Z1Pro (Sonic Black, 64 GB)","13,990","15,990",12% off,4.5,Vivo
"Redmi 8 (Onyx Black, 64 GB)","9,499","10,999",13% off,4.4,Redmi
"Realme 5 Pro (Sparkling Blue, 64 GB)","13,999","14,999",6% off,4.5,Realme
"Realme 5 Pro (Crystal Green, 64 GB)","13,999","14,999",6% off,4.5,Realme
"Vivo Z1Pro (Sonic Blue, 64 GB)","13,990","15,990",12% off,4.5,Vivo
"Redmi 8 (Sapphire Blue, 64 GB)","9,499","10,999",13% off,4.4,Redmi
Detel D1 Champ,590,NaN,Nan,3.7,Detel
"Realme 5 (Crystal Purple, 128 GB)","11,999","12,999",7% off,4.4,Realme
"Realme 5 (Crystal Blue, 32 GB)","9,999","10,999",9% off,4.5,Realme
"Realme 5 (Crystal Blue, 128 GB)","11,999","12,999",7% off,4.4,Realme
"Redmi 8 (Ruby Red, 64 GB)","9,499","10,999",13% off,4.4,Redmi
"Redmi 8 (Emerald Green, 64 GB)","9,499","10,999",13% off,4.4,Redmi
"Realme 6 (Comet Blue, 128 GB)","15,999",NaN,Nan,4.4,Realme
"POCO X2 (Phoenix Red, 128 GB)","18,499","18,999",2% off,4.5,POCO
"Realme C2 (Diamond Sapphire, 32 GB)","7,499","8,999",16% off,4.4,Realme
"Realme C2 (Diamond Ruby, 32 GB)","7,499","8,999",16% off,4.4,Realme
"Realme 5i (Forest Green, 64 GB)","9,999","10,999",9% off,4.4,Realme
"Realme 5i (Aqua Blue, 128 GB)","10,999","11,999",8% off,4.4,Realme
"Realme 5i (Aqua Blue, 64 GB)","9,999","10,999",9% off,4.4,Realme
"Realme 5i (Forest Green, 128 GB)","10,999","11,999",8% off,4.4,Realme
